Treatment.Date,Insecticide,Fungicide,Adjuvant,Dose,Dead,Treated
6/3/19,none,Vangard,none,0,0,20
6/3/19,none,Vangard,none,1,0,20
6/3/19,none,Vangard,none,3,0,20
6/3/19,none,Vangard,none,10,0,20
6/3/19,none,Vangard,none,30,0,20
6/20/19,none,Vangard,none,0,0,20
6/20/19,none,Vangard,none,1,1,19
6/20/19,none,Vangard,none,3,0,20
6/20/19,none,Vangard,none,10,0,21
6/20/19,none,Vangard,none,30,3,20
6/25/19,none,Vangard,none,0,0,20
6/25/19,none,Vangard,none,1,0,20
6/25/19,none,Vangard,none,3,0,20
6/25/19,none,Vangard,none,10,0,20
6/25/19,none,Vangard,none,30,0,20
6/29/19,none,Vangard,none,0,0,20
6/29/19,none,Vangard,none,1,0,20
6/29/19,none,Vangard,none,3,0,20
6/29/19,none,Vangard,none,10,1,20
6/29/19,none,Vangard,none,30,0,20
6/11/19,none,Vangard,Dyne-Amic,0,0,20
6/11/19,none,Vangard,Dyne-Amic,1,0,20
6/11/19,none,Vangard,Dyne-Amic,3,0,20
6/11/19,none,Vangard,Dyne-Amic,10,1,20
6/11/19,none,Vangard,Dyne-Amic,30,0,20
6/20/19,none,Vangard,Dyne-Amic,0,0,21
6/20/19,none,Vangard,Dyne-Amic,1,2,20
6/20/19,none,Vangard,Dyne-Amic,3,1,20
6/20/19,none,Vangard,Dyne-Amic,10,5,20
6/20/19,none,Vangard,Dyne-Amic,30,3,20
6/25/19,none,Vangard,Dyne-Amic,0,0,20
6/25/19,none,Vangard,Dyne-Amic,1,0,20
6/25/19,none,Vangard,Dyne-Amic,3,0,20
6/25/19,none,Vangard,Dyne-Amic,10,0,20
6/25/19,none,Vangard,Dyne-Amic,30,3,20
6/29/19,none,Vangard,Dyne-Amic,0,0,20
6/29/19,none,Vangard,Dyne-Amic,1,9,20
6/29/19,none,Vangard,Dyne-Amic,3,11,20
6/29/19,none,Vangard,Dyne-Amic,10,0,20
6/29/19,none,Vangard,Dyne-Amic,30,15,20
7/12/19,none,Vangard,Dyne-Amic,0,0,20
7/12/19,none,Vangard,Dyne-Amic,1,5,18
7/12/19,none,Vangard,Dyne-Amic,3,2,20
7/12/19,none,Vangard,Dyne-Amic,10,10,20
7/12/19,none,Vangard,Dyne-Amic,30,3,20
6/3/19,none,LunaSensation,none,0,0,20
6/3/19,none,LunaSensation,none,1,0,20
6/3/19,none,LunaSensation,none,3,0,20
6/3/19,none,LunaSensation,none,10,0,20
6/3/19,none,LunaSensation,none,30,0,20
6/22/19,none,LunaSensation,none,0,2,20
6/22/19,none,LunaSensation,none,1,0,20
6/22/19,none,LunaSensation,none,3,0,20
6/22/19,none,LunaSensation,none,10,0,20
6/22/19,none,LunaSensation,none,30,1,20
7/6/19,none,LunaSensation,none,0,2,20
7/6/19,none,LunaSensation,none,1,1,20
7/6/19,none,LunaSensation,none,3,2,20
7/6/19,none,LunaSensation,none,10,1,20
7/6/19,none,LunaSensation,none,30,1,20
6/11/19,none,LunaSensation,Dyne-Amic,0,0,19
6/11/19,none,LunaSensation,Dyne-Amic,3,0,20
6/11/19,none,LunaSensation,Dyne-Amic,10,0,20
6/11/19,none,LunaSensation,Dyne-Amic,30,0,20
6/22/19,none,LunaSensation,Dyne-Amic,0,0,20
6/22/19,none,LunaSensation,Dyne-Amic,3,0,20
6/22/19,none,LunaSensation,Dyne-Amic,10,0,20
6/22/19,none,LunaSensation,Dyne-Amic,30,1,20
7/6/19,none,LunaSensation,Dyne-Amic,0,0,20
7/6/19,none,LunaSensation,Dyne-Amic,3,0,20
7/6/19,none,LunaSensation,Dyne-Amic,10,0,20
7/6/19,none,LunaSensation,Dyne-Amic,30,6,20
6/28/17,Altacor,none,none,0,2,19
6/28/17,Altacor,none,none,0.1,0,19
6/28/17,Altacor,none,none,1,0,20
6/28/17,Altacor,none,none,10,0,19
7/7/17,Altacor,none,none,0,0,19
7/7/17,Altacor,none,none,0.1,2,20
7/7/17,Altacor,none,none,1,0,20
7/7/17,Altacor,none,none,10,0,20
7/12/17,Altacor,none,none,0,1,20
7/12/17,Altacor,none,none,0.1,0,20
7/12/17,Altacor,none,none,1,3,20
7/12/17,Altacor,none,none,10,2,20
7/23/17,Altacor,none,none,0,0,19
7/23/17,Altacor,none,none,0.1,1,20
7/23/17,Altacor,none,none,1,1,19
7/23/17,Altacor,none,none,3,2,20
7/23/17,Altacor,none,none,10,0,19
7/23/17,Altacor,none,none,30,1,19
7/25/17,Altacor,none,none,0,1,20
7/25/17,Altacor,none,none,0.1,2,20
7/25/17,Altacor,none,none,1,2,20
7/25/17,Altacor,none,none,3,3,21
7/25/17,Altacor,none,none,10,3,20
7/25/17,Altacor,none,none,30,3,20
7/27/17,Altacor,none,none,0,1,20
7/27/17,Altacor,none,none,0.1,2,20
7/27/17,Altacor,none,none,1,2,20
7/27/17,Altacor,none,none,3,0,20
7/27/17,Altacor,none,none,10,0,20
7/27/17,Altacor,none,none,30,3,20
6/8/18,Altacor,none,none,0,1,20
6/8/18,Altacor,none,none,1,0,20
6/8/18,Altacor,none,none,10,0,20
6/8/18,Altacor,none,none,30,0,20
6/8/18,Altacor,none,none,0,1,20
6/8/18,Altacor,none,none,0.1,2,20
6/8/18,Altacor,none,none,1,3,20
6/8/18,Altacor,none,none,10,1,20
6/8/18,Altacor,none,none,30,1,20
6/13/18,Altacor,none,none,0,0,20
6/13/18,Altacor,none,none,0.1,0,20
6/13/18,Altacor,none,none,1,0,20
6/13/18,Altacor,none,none,10,0,20
6/13/18,Altacor,none,none,30,0,20
7/11/18,Altacor,none,none,0,1,19
7/11/18,Altacor,none,none,0.1,0,20
7/11/18,Altacor,none,none,1,3,20
7/11/18,Altacor,none,none,10,3,20
7/11/18,Altacor,none,none,30,2,20
5/29/19,Altacor,none,none,0,0,20
5/29/19,Altacor,none,none,1,0,20
5/29/19,Altacor,none,none,3,0,20
5/29/19,Altacor,none,none,10,0,20
5/29/19,Altacor,none,none,30,0,20
6/11/19,Altacor,none,none,0,0,20
6/11/19,Altacor,none,none,1,0,20
6/11/19,Altacor,none,none,3,0,20
6/11/19,Altacor,none,none,10,0,20
6/11/19,Altacor,none,none,30,0,20
7/10/19,Altacor,none,none,1,0,20
7/10/19,Altacor,none,none,3,0,20
7/10/19,Altacor,none,none,10,0,20
7/10/19,Altacor,none,none,30,0,20
6/17/19,Altacor,none,Dyne-Amic,0,2,19
6/17/19,Altacor,none,Dyne-Amic,1,0,19
6/17/19,Altacor,none,Dyne-Amic,3,0,20
6/17/19,Altacor,none,Dyne-Amic,10,1,19
6/17/19,Altacor,none,Dyne-Amic,30,9,18
6/28/19,Altacor,none,Dyne-Amic,0,1,20
6/28/19,Altacor,none,Dyne-Amic,1,19,20
6/28/19,Altacor,none,Dyne-Amic,3,0,20
6/28/19,Altacor,none,Dyne-Amic,10,20,20
6/28/19,Altacor,none,Dyne-Amic,30,20,20
7/11/19,Altacor,none,Dyne-Amic,0,0,20
7/11/19,Altacor,none,Dyne-Amic,1,9,20
7/11/19,Altacor,none,Dyne-Amic,3,4,20
7/11/19,Altacor,none,Dyne-Amic,10,3,20
7/11/19,Altacor,none,Dyne-Amic,30,10,20
7/30/19,Altacor,none,Dyne-Amic,0,1,20
7/30/19,Altacor,none,Dyne-Amic,1,0,20
7/30/19,Altacor,none,Dyne-Amic,3,15,20
7/30/19,Altacor,none,Dyne-Amic,10,0,20
7/30/19,Altacor,none,Dyne-Amic,30,1,20
7/5/17,Altacor,Pristine,none,0,0,20
7/5/17,Altacor,Pristine,none,0.01,1,20
7/5/17,Altacor,Pristine,none,0.1,1,20
7/5/17,Altacor,Pristine,none,1,0,20
7/11/17,Altacor,Pristine,none,0,2,20
7/11/17,Altacor,Pristine,none,0.01,1,20
7/11/17,Altacor,Pristine,none,0.1,0,20
7/11/17,Altacor,Pristine,none,1,3,20
7/13/17,Altacor,Pristine,none,0,0,20
7/13/17,Altacor,Pristine,none,0.01,1,20
7/13/17,Altacor,Pristine,none,0.1,1,20
7/13/17,Altacor,Pristine,none,1,0,20
7/27/17,Altacor,Pristine,none,0,0,21
7/27/17,Altacor,Pristine,none,30,0,20
6/9/19,Altacor,Pristine,none,0,1,20
6/9/19,Altacor,Pristine,none,1,0,20
6/9/19,Altacor,Pristine,none,3,1,20
6/9/19,Altacor,Pristine,none,10,2,20
6/9/19,Altacor,Pristine,none,30,1,20
6/13/19,Altacor,Pristine,none,0,1,20
6/13/19,Altacor,Pristine,none,1,0,20
6/13/19,Altacor,Pristine,none,3,2,20
6/13/19,Altacor,Pristine,none,10,0,20
6/13/19,Altacor,Pristine,none,30,0,20
6/23/19,Altacor,Pristine,none,0,1,20
6/23/19,Altacor,Pristine,none,1,0,20
6/23/19,Altacor,Pristine,none,3,0,20
6/23/19,Altacor,Pristine,none,30,1,19
6/30/19,Altacor,Pristine,none,0,2,20
6/30/19,Altacor,Pristine,none,1,2,20
6/30/19,Altacor,Pristine,none,3,1,20
6/30/19,Altacor,Pristine,none,10,0,20
6/30/19,Altacor,Pristine,none,30,1,20
7/12/19,Altacor,Pristine,none,0,0,20
7/12/19,Altacor,Pristine,none,1,0,20
7/12/19,Altacor,Pristine,none,3,1,20
7/12/19,Altacor,Pristine,none,10,3,20
7/12/19,Altacor,Pristine,none,30,0,20
6/10/19,Altacor,Pristine,Dyne-Amic,0,0,20
6/10/19,Altacor,Pristine,Dyne-Amic,1,1,19
6/10/19,Altacor,Pristine,Dyne-Amic,3,3,20
6/10/19,Altacor,Pristine,Dyne-Amic,10,4,20
6/10/19,Altacor,Pristine,Dyne-Amic,30,17,20
6/13/19,Altacor,Pristine,Dyne-Amic,0,0,20
6/13/19,Altacor,Pristine,Dyne-Amic,1,2,20
6/13/19,Altacor,Pristine,Dyne-Amic,3,2,20
6/13/19,Altacor,Pristine,Dyne-Amic,10,15,20
6/13/19,Altacor,Pristine,Dyne-Amic,30,20,20
6/23/19,Altacor,Pristine,Dyne-Amic,0,0,20
6/23/19,Altacor,Pristine,Dyne-Amic,1,1,21
6/23/19,Altacor,Pristine,Dyne-Amic,3,1,20
6/23/19,Altacor,Pristine,Dyne-Amic,10,2,20
6/23/19,Altacor,Pristine,Dyne-Amic,30,16,20
6/30/19,Altacor,Pristine,Dyne-Amic,0,1,20
6/30/19,Altacor,Pristine,Dyne-Amic,1,12,20
6/30/19,Altacor,Pristine,Dyne-Amic,3,19,20
6/30/19,Altacor,Pristine,Dyne-Amic,10,20,20
6/30/19,Altacor,Pristine,Dyne-Amic,30,19,19
7/12/19,Altacor,Pristine,Dyne-Amic,0,0,20
7/12/19,Altacor,Pristine,Dyne-Amic,1,3,20
7/12/19,Altacor,Pristine,Dyne-Amic,3,10,20
7/12/19,Altacor,Pristine,Dyne-Amic,10,17,20
7/12/19,Altacor,Pristine,Dyne-Amic,30,19,20
7/31/19,Altacor,Pristine,Dyne-Amic,0,1,20
7/31/19,Altacor,Pristine,Dyne-Amic,1,0,21
7/31/19,Altacor,Pristine,Dyne-Amic,3,3,20
7/31/19,Altacor,Pristine,Dyne-Amic,10,10,20
7/31/19,Altacor,Pristine,Dyne-Amic,30,18,20
6/28/17,Altacor,Tilt,none,0,0,20
6/28/17,Altacor,Tilt,none,0.01,1,20
6/28/17,Altacor,Tilt,none,0.1,0,20
6/28/17,Altacor,Tilt,none,1,0,19
6/28/17,Altacor,Tilt,none,0,1,20
7/7/17,Altacor,Tilt,none,0,0,20
7/7/17,Altacor,Tilt,none,0.01,0,20
7/7/17,Altacor,Tilt,none,0.1,1,19
7/7/17,Altacor,Tilt,none,1,1,20
7/12/17,Altacor,Tilt,none,0,0,20
7/12/17,Altacor,Tilt,none,0.01,0,20
7/12/17,Altacor,Tilt,none,0.1,1,20
7/12/17,Altacor,Tilt,none,1,1,20
7/21/17,Altacor,Tilt,none,0,1,20
7/21/17,Altacor,Tilt,none,0.1,0,20
7/21/17,Altacor,Tilt,none,1,2,20
7/21/17,Altacor,Tilt,none,3,0,20
7/21/17,Altacor,Tilt,none,10,13,20
7/21/17,Altacor,Tilt,none,30,20,20
7/24/17,Altacor,Tilt,none,0,0,20
7/24/17,Altacor,Tilt,none,0.1,0,20
7/24/17,Altacor,Tilt,none,1,3,20
7/24/17,Altacor,Tilt,none,3,0,20
7/24/17,Altacor,Tilt,none,10,11,19
7/24/17,Altacor,Tilt,none,30,20,20
7/26/17,Altacor,Tilt,none,0,3,20
7/26/17,Altacor,Tilt,none,0.1,0,20
7/26/17,Altacor,Tilt,none,1,2,20
7/26/17,Altacor,Tilt,none,3,1,20
7/26/17,Altacor,Tilt,none,10,7,19
7/26/17,Altacor,Tilt,none,30,20,20
7/28/17,Altacor,Tilt,none,0,1,19
7/28/17,Altacor,Tilt,none,0.1,0,20
7/28/17,Altacor,Tilt,none,1,0,20
7/28/17,Altacor,Tilt,none,3,3,20
7/28/17,Altacor,Tilt,none,10,11,20
7/28/17,Altacor,Tilt,none,30,20,20
6/12/18,Altacor,Tilt,none,0,0,20
6/12/18,Altacor,Tilt,none,0.1,1,20
6/12/18,Altacor,Tilt,none,1,0,19
6/12/18,Altacor,Tilt,none,10,16,20
6/12/18,Altacor,Tilt,none,30,20,20
6/12/18,Altacor,Tilt,none,0,0,20
6/12/18,Altacor,Tilt,none,0.1,0,20
6/12/18,Altacor,Tilt,none,1,0,21
6/12/18,Altacor,Tilt,none,10,8,20
6/12/18,Altacor,Tilt,none,30,20,20
6/13/18,Altacor,Tilt,none,0,0,20
6/13/18,Altacor,Tilt,none,0.1,0,20
6/13/18,Altacor,Tilt,none,1,0,20
6/13/18,Altacor,Tilt,none,10,11,20
6/13/18,Altacor,Tilt,none,30,19,20
6/26/18,Altacor,Tilt,none,0,2,20
6/26/18,Altacor,Tilt,none,0.1,1,18
6/26/18,Altacor,Tilt,none,1,3,20
6/26/18,Altacor,Tilt,none,10,16,20
6/26/18,Altacor,Tilt,none,30,20,20
5/29/19,Altacor,Tilt,none,0,1,21
5/29/19,Altacor,Tilt,none,1,2,20
5/29/19,Altacor,Tilt,none,3,2,20
5/29/19,Altacor,Tilt,none,10,2,20
5/29/19,Altacor,Tilt,none,30,19,21
7/5/19,Altacor,Tilt,none,0,0,20
7/5/19,Altacor,Tilt,none,0.1,3,20
7/5/19,Altacor,Tilt,none,1,2,21
7/5/19,Altacor,Tilt,none,3,1,20
7/5/19,Altacor,Tilt,none,10,7,20
7/5/19,Altacor,Tilt,none,30,19,20
7/13/19,Altacor,Tilt,none,0,0,20
7/13/19,Altacor,Tilt,none,0.1,0,20
7/13/19,Altacor,Tilt,none,1,1,20
7/13/19,Altacor,Tilt,none,3,0,20
7/13/19,Altacor,Tilt,none,10,4,20
7/13/19,Altacor,Tilt,none,30,20,20
6/12/18,Altacor,Tilt,Dyne-Amic,0,0,20
6/12/18,Altacor,Tilt,Dyne-Amic,0.1,2,20
6/12/18,Altacor,Tilt,Dyne-Amic,1,1,20
6/12/18,Altacor,Tilt,Dyne-Amic,10,18,20
6/12/18,Altacor,Tilt,Dyne-Amic,30,20,20
6/12/18,Altacor,Tilt,Dyne-Amic,0,0,20
6/12/18,Altacor,Tilt,Dyne-Amic,0.1,4,20
6/12/18,Altacor,Tilt,Dyne-Amic,1,6,20
6/12/18,Altacor,Tilt,Dyne-Amic,10,20,20
6/12/18,Altacor,Tilt,Dyne-Amic,30,20,20
6/13/18,Altacor,Tilt,Dyne-Amic,0,0,20
6/13/18,Altacor,Tilt,Dyne-Amic,0.1,2,20
6/13/18,Altacor,Tilt,Dyne-Amic,1,7,20
6/13/18,Altacor,Tilt,Dyne-Amic,10,20,20
6/13/18,Altacor,Tilt,Dyne-Amic,30,20,20
5/29/19,Altacor,Tilt,Dyne-Amic,0,0,20
5/29/19,Altacor,Tilt,Dyne-Amic,1,2,20
5/29/19,Altacor,Tilt,Dyne-Amic,3,15,20
5/29/19,Altacor,Tilt,Dyne-Amic,10,17,20
5/29/19,Altacor,Tilt,Dyne-Amic,30,20,20
6/12/19,Altacor,Tilt,Dyne-Amic,0,0,20
6/12/19,Altacor,Tilt,Dyne-Amic,0.1,0,20
6/12/19,Altacor,Tilt,Dyne-Amic,1,5,20
6/12/19,Altacor,Tilt,Dyne-Amic,3,4,20
6/12/19,Altacor,Tilt,Dyne-Amic,5,2,20
6/12/19,Altacor,Tilt,Dyne-Amic,8,3,20
6/12/19,Altacor,Tilt,Dyne-Amic,10,8,21
6/12/19,Altacor,Tilt,Dyne-Amic,30,9,20
6/12/19,Altacor,Tilt,Dyne-Amic,1,14,20
6/12/19,Altacor,Tilt,Dyne-Amic,0,0,20
6/12/19,Altacor,Tilt,Dyne-Amic,0.1,0,20
6/12/19,Altacor,Tilt,Dyne-Amic,1,5,20
6/12/19,Altacor,Tilt,Dyne-Amic,3,5,20
6/12/19,Altacor,Tilt,Dyne-Amic,5,2,20
6/12/19,Altacor,Tilt,Dyne-Amic,8,4,20
6/12/19,Altacor,Tilt,Dyne-Amic,10,8,21
6/12/19,Altacor,Tilt,Dyne-Amic,30,9,20
6/12/19,Altacor,Tilt,Dyne-Amic,1,17,20
7/13/19,Altacor,Tilt,Dyne-Amic,0,0,20
7/13/19,Altacor,Tilt,Dyne-Amic,0.1,1,20
7/13/19,Altacor,Tilt,Dyne-Amic,1,7,20
7/13/19,Altacor,Tilt,Dyne-Amic,3,14,20
7/13/19,Altacor,Tilt,Dyne-Amic,5,15,20
7/13/19,Altacor,Tilt,Dyne-Amic,8,20,20
7/13/19,Altacor,Tilt,Dyne-Amic,10,19,20
7/13/19,Altacor,Tilt,Dyne-Amic,30,20,20
6/4/19,Altacor,Vangard,none,0,1,20
6/4/19,Altacor,Vangard,none,1,0,20
6/4/19,Altacor,Vangard,none,3,0,20
6/4/19,Altacor,Vangard,none,10,0,20
6/4/19,Altacor,Vangard,none,30,0,20
6/20/19,Altacor,Vangard,none,0,0,20
6/20/19,Altacor,Vangard,none,1,0,20
6/20/19,Altacor,Vangard,none,3,3,20
6/20/19,Altacor,Vangard,none,10,0,20
6/20/19,Altacor,Vangard,none,30,0,20
6/30/19,Altacor,Vangard,none,0,1,20
6/30/19,Altacor,Vangard,none,1,2,20
6/30/19,Altacor,Vangard,none,3,3,20
6/30/19,Altacor,Vangard,none,10,1,20
6/30/19,Altacor,Vangard,none,30,1,20
6/4/19,Altacor,Vangard,Dyne-Amic,0,0,20
6/4/19,Altacor,Vangard,Dyne-Amic,1,0,20
6/4/19,Altacor,Vangard,Dyne-Amic,3,0,20
6/4/19,Altacor,Vangard,Dyne-Amic,10,1,20
6/4/19,Altacor,Vangard,Dyne-Amic,30,6,20
6/20/19,Altacor,Vangard,Dyne-Amic,0,2,20
6/20/19,Altacor,Vangard,Dyne-Amic,1,19,19
6/20/19,Altacor,Vangard,Dyne-Amic,3,20,20
6/20/19,Altacor,Vangard,Dyne-Amic,10,8,19
6/20/19,Altacor,Vangard,Dyne-Amic,30,0,20
6/30/19,Altacor,Vangard,Dyne-Amic,0,1,20
6/30/19,Altacor,Vangard,Dyne-Amic,1,6,20
6/30/19,Altacor,Vangard,Dyne-Amic,3,19,20
6/30/19,Altacor,Vangard,Dyne-Amic,10,18,20
6/30/19,Altacor,Vangard,Dyne-Amic,30,19,19
7/12/19,Altacor,Vangard,Dyne-Amic,0,0,20
7/12/19,Altacor,Vangard,Dyne-Amic,1,0,21
7/12/19,Altacor,Vangard,Dyne-Amic,3,20,20
7/12/19,Altacor,Vangard,Dyne-Amic,10,20,20
7/12/19,Altacor,Vangard,Dyne-Amic,30,8,20
7/31/19,Altacor,Vangard,Dyne-Amic,0,1,20
7/31/19,Altacor,Vangard,Dyne-Amic,1,13,20
7/31/19,Altacor,Vangard,Dyne-Amic,3,16,20
7/31/19,Altacor,Vangard,Dyne-Amic,10,15,20
7/31/19,Altacor,Vangard,Dyne-Amic,30,14,20
6/4/19,Altacor,LunaSensation,none,0,0,20
6/4/19,Altacor,LunaSensation,none,1,1,20
6/4/19,Altacor,LunaSensation,none,3,0,20
6/4/19,Altacor,LunaSensation,none,10,0,20
6/4/19,Altacor,LunaSensation,none,30,0,20
6/17/19,Altacor,LunaSensation,none,0,0,20
6/17/19,Altacor,LunaSensation,none,1,0,19
6/17/19,Altacor,LunaSensation,none,3,0,20
6/17/19,Altacor,LunaSensation,none,10,1,20
6/17/19,Altacor,LunaSensation,none,30,0,19
6/23/19,Altacor,LunaSensation,none,0,1,20
6/23/19,Altacor,LunaSensation,none,1,1,20
6/23/19,Altacor,LunaSensation,none,3,0,20
6/23/19,Altacor,LunaSensation,none,10,0,18
6/23/19,Altacor,LunaSensation,none,30,1,20
